iter	MultiClass
0	1.000427122
1	0.9196863146
2	0.854234018
3	0.8036351317
4	0.7618472711
5	0.7261687832
6	0.6956186947
7	0.6676741489
8	0.6434249343
9	0.6228148984
10	0.6053021048
11	0.5902377397
12	0.5783479934
13	0.5652194697
14	0.5543800635
15	0.5455941003
16	0.5379198161
17	0.5297736202
18	0.5230490633
19	0.5152495015
20	0.5073686246
21	0.4994174143
22	0.4927793544
23	0.4870796955
24	0.4838262731
25	0.4800195198
26	0.4774260534
27	0.4732332252
28	0.4698221012
29	0.4669650623
30	0.4649910658
31	0.463042997
32	0.4594587009
33	0.4580986147
34	0.4558801822
35	0.4519666986
36	0.4477850244
37	0.4457333868
38	0.443299331
39	0.4411625605
40	0.4389701879
41	0.4371336046
42	0.4359378975
43	0.4353354092
44	0.4342667861
45	0.4326253836
46	0.4319753521
47	0.4305099465
48	0.4292667904
49	0.4286634502
50	0.4267272653
51	0.4262277034
52	0.4257549161
53	0.4238275809
54	0.4220994483
55	0.4213466197
56	0.4199861713
57	0.4192643336
58	0.4180802172
59	0.4176613203
60	0.4161445107
61	0.4145675057
62	0.414242289
63	0.4131428345
64	0.4120444311
65	0.4115695692
66	0.4110247099
67	0.4089867051
68	0.4077454785
69	0.4063505717
70	0.4054221236
71	0.4048629559
72	0.4044953752
73	0.4038812807
74	0.4036990904
75	0.4028489518
76	0.4019054182
77	0.4005932317
78	0.3999406241
79	0.3982728788
80	0.3959089647
81	0.3954734513
82	0.3942887662
83	0.3921652633
84	0.3908453482
85	0.3887528229
86	0.3881940834
87	0.3877514254
88	0.3864694567
89	0.3860171617
90	0.385197605
91	0.3845420028
92	0.3840400476
93	0.3831857788
94	0.38270329
95	0.3824574837
96	0.3814178563
97	0.3807942625
98	0.3801002363
99	0.3798786147
100	0.3793874093
101	0.3788972309
102	0.3784347315
103	0.3776102294
104	0.3770293347
105	0.3755647588
106	0.3741304366
107	0.3735607379
108	0.3728872655
109	0.3725185079
110	0.372156588
111	0.3719380846
112	0.3712557027
113	0.3709398862
114	0.3699055805
115	0.3690129375
116	0.3686605116
117	0.3681610728
118	0.3679041817
119	0.3675916428
120	0.3673549419
121	0.3668813654
122	0.3664554417
123	0.3662266564
124	0.3654452464
125	0.3650650993
126	0.3634293234
127	0.3630168794
128	0.3626671632
129	0.3624709964
130	0.3616363745
131	0.3614045495
132	0.3606889659
133	0.3605763781
134	0.3603967082
135	0.3602134326
136	0.3598613952
137	0.359621718
138	0.3581524244
139	0.357492735
140	0.3561445252
141	0.3549399954
142	0.3546471416
143	0.3542313417
144	0.3534762678
145	0.3530528615
146	0.3528979512
147	0.352553613
148	0.3516932741
149	0.351495896
150	0.3510119846
151	0.350739526
152	0.3504717562
153	0.3501494388
154	0.3495673937
155	0.3488136242
156	0.3486820503
157	0.3484760537
158	0.3478025779
159	0.3471049382
160	0.3467477398
161	0.3465009123
162	0.3460840194
163	0.3458632475
164	0.3457414627
165	0.3447589153
166	0.3445166483
167	0.3441356403
168	0.3437954554
169	0.3431853241
170	0.3420373915
171	0.3417411568
172	0.3415707112
173	0.3413619683
174	0.3406060804
175	0.340487486
176	0.3403426233
177	0.3398533277
178	0.3397107024
179	0.3391500681
180	0.3387264825
181	0.3383914627
182	0.3381415316
183	0.3379664434
184	0.3377043267
185	0.3371619859
186	0.3369874873
187	0.3361307203
188	0.3354493018
189	0.335199409
190	0.3347835495
191	0.3344960255
192	0.3341712452
193	0.333802353
194	0.3335128782
195	0.3329284025
196	0.3326106128
197	0.3318240823
198	0.331656066
199	0.3311405148
200	0.3306008209
201	0.3304781304
202	0.3303063677
203	0.3301887464
204	0.3295815926
205	0.3291896348
206	0.3289864653
207	0.3284289862
208	0.3280574191
209	0.3277209285
210	0.3269447734
211	0.326320405
212	0.3261568087
213	0.3256127311
214	0.325458744
215	0.3252119869
216	0.3250531791
217	0.32478493
218	0.3244671576
219	0.3242336304
220	0.3236224641
221	0.3234998941
