iter	Passed	Remaining
0	10	10604
1	20	10019
2	29	9928
3	41	10263
4	50	10121
5	62	10282
6	73	10356
7	82	10191
8	92	10216
9	103	10274
10	126	11354
11	137	11297
12	147	11216
13	158	11180
14	168	11057
15	177	10912
16	187	10849
17	196	10730
18	208	10779
19	222	10879
20	231	10813
21	252	11246
22	273	11603
23	285	11616
24	296	11564
25	313	11725
26	325	11728
27	335	11653
28	344	11548
29	355	11480
30	364	11406
31	376	11404
32	407	11929
33	418	11897
34	427	11800
35	440	11800
36	452	11775
37	461	11684
38	471	11623
39	482	11572
40	491	11504
41	502	11450
42	513	11423
43	522	11351
44	532	11303
45	542	11241
46	552	11193
47	562	11162
48	571	11096
49	594	11298
50	604	11252
51	615	11224
52	625	11177
53	639	11196
54	654	11243
55	664	11208
56	703	11632
57	715	11623
58	727	11608
59	739	11579
60	754	11619
61	798	12082
62	813	12098
63	824	12061
64	834	12009
65	847	11991
66	872	12143
67	881	12084
68	891	12034
69	916	12176
70	927	12131
71	936	12067
72	966	12266
73	978	12245
74	994	12268
75	1003	12206
76	1014	12159
77	1029	12173
78	1041	12142
79	1058	12170
80	1074	12191
81	1091	12221
82	1102	12178
83	1111	12125
84	1121	12076
85	1131	12021
86	1142	11994
87	1154	11965
88	1166	11943
89	1181	11949
90	1196	11948
91	1210	11943
92	1226	11965
93	1237	11925
94	1246	11870
95	1261	11876
96	1272	11843
97	1280	11788
98	1293	11775
99	1304	11742
100	1313	11691
101	1323	11652
102	1336	11640
103	1347	11608
104	1357	11574
105	1368	11540
106	1377	11499
107	1387	11462
108	1396	11414
109	1406	11382
110	1417	11351
111	1426	11310
112	1436	11279
113	1474	11460
114	1486	11439
115	1499	11427
116	1510	11401
117	1521	11372
118	1536	11374
119	1547	11345
120	1556	11306
121	1567	11277
122	1577	11245
123	1588	11220
124	1621	11347
125	1634	11337
126	1649	11341
127	1659	11303
128	1671	11283
129	1683	11263
130	1693	11231
131	1703	11204
132	1724	11241
133	1734	11210
134	1744	11175
135	1755	11152
136	1766	11125
137	1775	11088
138	1786	11064
139	1797	11043
140	1807	11011
141	1817	10982
142	1827	10954
143	1838	10929
144	1849	10903
145	1859	10875
146	1868	10843
147	1879	10816
148	1888	10784
149	1898	10755
150	1907	10725
151	1917	10695
152	1930	10688
153	1940	10659
154	1949	10627
155	1959	10601
156	1971	10587
157	1982	10563
158	1993	10542
159	2002	10511
160	2013	10493
161	2024	10470
162	2033	10440
163	2043	10415
164	2052	10385
165	2062	10363
166	2075	10351
167	2084	10325
168	2095	10302
169	2105	10280
170	2114	10251
171	2126	10234
172	2135	10208
173	2145	10183
174	2156	10167
175	2166	10145
176	2177	10122
177	2187	10100
178	2196	10073
179	2206	10052
180	2215	10026
181	2225	10003
182	2235	9981
183	2246	9964
184	2258	9951
185	2268	9926
186	2292	9968
187	2303	9948
188	2312	9924
189	2323	9904
190	2333	9884
191	2342	9859
192	2353	9839
193	2362	9817
194	2373	9799
195	2384	9781
196	2393	9755
197	2404	9739
198	2414	9719
199	2423	9694
200	2434	9676
201	2444	9656
202	2454	9638
203	2465	9622
204	2475	9601
205	2486	9583
206	2495	9560
207	2506	9542
208	2541	9619
209	2556	9615
210	2569	9609
211	2581	9594
212	2590	9570
213	2600	9550
214	2615	9550
215	2625	9527
216	2637	9516
217	2647	9498
218	2657	9476
219	2667	9456
220	2677	9438
221	2687	9417
222	2696	9397
223	2706	9376
224	2716	9357
225	2725	9334
226	2737	9320
227	2749	9311
228	2760	9293
229	2771	9277
230	2784	9269
231	2795	9254
232	2805	9234
233	2818	9227
234	2830	9213
235	2840	9194
236	2850	9175
237	2861	9161
238	2871	9141
239	2883	9131
240	2898	9128
241	2909	9113
242	2918	9092
243	2929	9077
244	2939	9058
245	2950	9042
246	2963	9034
247	2976	9024
248	2987	9011
249	3004	9012
250	3019	9009
251	3035	9011
252	3048	9000
253	3061	8990
254	3071	8972
255	3094	8992
256	3102	8970
257	3127	8993
258	3138	8980
259	3159	8993
260	3172	8983
261	3182	8963
262	3192	8946
263	3201	8924
264	3211	8906
265	3223	8893
266	3231	8872
267	3243	8860
268	3254	8843
269	3263	8823
270	3273	8805
271	3282	8785
272	3292	8768
273	3303	8752
