,coord,id
0,"('51.0548994', '3.7223248')",13969825
1,"('50.7887051', '4.052819574178704')",740727
2,"(nan, nan)",12188645
3,"('51.0582196', '3.7222621')",9710340
4,"('51.0268308', '4.1005587')",8298124
5,"('51.054784', '3.715147529390401')",2313967
6,"('51.0563899', '3.7200107')",10032417
7,"('51.0172842', '3.7352118')",23486686
8,"(nan, nan)",1755070
9,"('51.057872950000004', '3.723593150457762')",1557772
10,"('51.0579981', '3.7233312548638184')",740670
11,"(nan, nan)",6943054
12,"('50.9238167', '3.4470247')",21182656
13,"('51.1690027', '4.1391715')",6959268
14,"('50.9036447', '3.509640294271243')",967590
15,"('50.9196162', '3.6129843')",2602975
16,"('50.930108950000005', '4.041852779124971')",740625
17,"('51.0548744', '3.7136199')",784367
18,"('51.0542464', '3.7173773')",1072090
19,"('50.7458853', '3.6023023')",3792504
20,"(nan, nan)",12902687
21,"('51.0184444', '4.1145556')",2720670
22,"('51.1648745', '4.1427885')",4439470
23,"('50.8024742', '3.7636473')",1057733
24,"('51.0552703', '3.7201795')",740681
25,"('51.0509911', '3.7287994112359515')",4014169
26,"('51.2417954', '3.5250784')",3351157
27,"('51.05456815', '3.7223980006865136')",814598
28,"('51.0362869', '3.7130515')",7214432
29,"('51.0522075', '3.7275609')",6578428
30,"('51.0545126', '3.714831')",6878996
31,"('51.0577781', '3.7329399')",6412828
32,"('51.054564150000004', '3.7232932513016848')",1757529
33,"('51.0535518', '3.7244581')",1751252
34,"('51.171304', '3.446861')",3595923
35,"('51.123609099999996', '4.215098336161006')",10464254
36,"('51.0510841', '3.7200203')",12233896
37,"(nan, nan)",8423272
38,"(nan, nan)",24077843
39,"('51.0758261', '4.0409546')",4895257
40,"('50.8836278', '3.7802123')",2352716
41,"('51.192875099999995', '4.178445432355019')",740776
42,"('51.0587194', '3.7243453')",3809633
43,"('51.0554033', '3.7188157')",798937
44,"('51.041118600000004', '3.721401500404408')",19335957
45,"('51.0505186', '3.7274867')",740695
46,"('50.8260371', '4.020243')",6920236
47,"('51.040446', '3.6924629')",3493781
48,"('51.1763062', '4.3031833')",3669846
49,"('51.05584755', '3.7222132830392205')",740664
50,"('51.0845328', '3.4483626')",3171084
51,"('50.9402721', '4.0147795')",12789360
52,"('51.05030325', '3.7161454799683313')",18964710
53,"('51.0312223', '4.098569')",2599711
54,"('51.0544131', '3.7173029')",7976850
55,"(nan, nan)",3248702
56,"('51.0563711', '3.7215526555695755')",11748881
57,"('51.047594700000005', '3.7215041930902477')",1059578
58,"('50.8687913', '3.6051009')",8279642
59,"('51.056225999999995', '3.7187506239647234')",11576275
60,"('51.0383362', '3.6914411')",694721
61,"('51.058679749999996', '3.7243145165017326')",3265769
62,"('51.0598795', '3.7208645320819898')",6280220
63,"('51.0521608', '3.7191195')",1024646
64,"('51.2080614', '3.426001')",5543334
65,"('51.0564222', '3.7224589')",2236342
66,"('51.1112276', '3.8117532417564925')",4584446
67,"(nan, nan)",3601600
68,"('51.0092581', '3.6337604')",740796
69,"('50.98597105', '4.048454767127241')",8744781
70,"('50.774094', '3.8846791')",3457241
71,"('51.0001662', '3.7477565')",3819823
72,"('51.053449099999995', '3.7262655339826978')",3774380
73,"('51.0594342', '3.7250835')",7215510
74,"('51.1451298', '4.102843576979182')",2543672
75,"('51.0552314', '3.7124047')",15194988
76,"('51.0579992', '3.7234983')",2196877
77,"('51.0582862', '3.7244315494178886')",740685
78,"('51.1126056', '3.4443896')",8490721
79,"('51.1278112', '4.222734010651269')",7194566
80,"('51.0479391', '3.7281563')",12093845
81,"('51.0500416', '3.7195835')",1070849
82,"('51.0454297', '3.7230507')",9853749
83,"('51.05771045', '3.7241628616500817')",3226197
84,"('50.990460049999996', '3.9645654497349723')",3368355
85,"('51.024127750000005', '3.623803837371967')",740764
86,"('51.163703', '4.139013524783051')",3812785
87,"('50.902401100000006', '4.005155523377303')",7180917
88,"('51.056746950000004', '3.719396322068964')",15579659
89,"('51.0583769', '3.727979280374998')",14184000
90,"('50.9989095', '3.6112249')",1009422
91,"('51.0567956', '3.719615307458427')",877202
92,"('51.0498628', '3.7315607')",7894545
93,"('51.1471099', '4.299836')",3602108
94,"('50.848917549999996', '3.60092276835839')",3360463
95,"('51.0500823', '3.7170462')",2532013
96,"('50.92838915', '4.065638984012873')",740592
97,"('51.0542538', '3.7259103851370834')",7987911
98,"('51.054947', '3.720996')",1058490
99,"('51.0560269', '3.7140557092355224')",20292091
100,"('51.056337', '3.7145389')",16024254
101,"('50.9480018', '4.09815')",2230743
102,"('51.0575702', '3.7217227')",806728
103,"('51.0490775', '3.722596')",1894818
104,"('51.0548994', '3.7223248')",3448259
105,"('51.1196852', '4.000615837068967')",740710
106,"('50.941035049999996', '4.03680963865248')",810739
107,"('51.0498883', '3.7217005')",3608732
108,"('51.0585776', '3.7217242')",6103908
109,"('51.048575650000004', '3.721559274541164')",814597
110,"('51.1071764', '3.9877692304504504')",740721
111,"('51.05833575', '3.7234168426499057')",15677953
112,"('51.0579761', '3.723447')",3171501
113,"('51.05350645', '3.7262350627058396')",1913510
